wave	rownum	serial	area	ur8	ur7	ur6	ur5	ur4	ur3	ur2	ur1	ul1	ul2	ul3	ul4	ul5	ul6	ul7	ul8
1	12	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51002M	1	2	3	-	-	-	0	-	-	0	6	1	-	1	3	-	-
1	12	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51006R	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51007S	1	1	-	-	-	-	0	-	-	0	-	0	0	-	-	0	-
1	12	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51009V	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51010W	1	-	-	-	-	-	1	-	1	1	-	1	-	-	-	-	-
1	12	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51014A	8	2	1	-	-	0	2	0	0	0	0	1	9	9	-	-	-
1	12	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51023K	9	-	-	-	-	-	0	0	-	-	1	0	0	-	-	-	-
1	12	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51026N	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51027P	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51029R	16	-	-	-	-	-	1	-	1	1	-	-	-	-	-	-	-
1	12	51030S	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51031T	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51034X	16	-	1	-	-	1	0	0	0	0	6	-	-	0	0	1	-
1	12	51035Y	16	-	1	1	1	-	1	1	-	-	1	1	-	-	-	-	-
1	12	51036Z	16	-	-	-	-	1	2	-	1	5	-	5	1	-	0	0	-
1	12	51037A	16	-	-	-	-	1	1	1	-	-	-	1	1	1	-	-	-
1	12	51038B	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51039C	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	12	51040D	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51041E	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51042F	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51043G	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51044H	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51045J	17	1	-	-	-	-	1	1	1	-	-	-	-	-	-	1	-
1	12	51046K	17	-	-	-	-	-	0	0	0	1	1	0	0	-	-	-	-
1	12	51047L	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51049N	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	12	51050P	17	-	-	-	-	1	0	-	9	1	1	0	1	-	1	-	-
