wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	26	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51002M	1	9	-	-	-	0	2	0	0	-	9	0	-	-	-	-	-
1	26	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51006R	1	-	-	-	-	-	0	0	0	0	1	0	-	-	-	-	-
1	26	51007S	1	-	-	0	0	0	2	2	3	3	3	3	-	-	-	2	-
1	26	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51009V	1	-	-	-	9	2	2	-	-	-	-	2	9	-	-	-	-
1	26	51010W	1	-	0	-	0	0	0	0	2	2	2	0	-	0	2	2	-
1	26	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51014A	8	-	-	-	9	9	0	0	0	0	0	0	2	2	-	-	-
1	26	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51023K	9	-	0	-	1	1	0	0	0	0	0	0	-	-	-	0	0
1	26	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51026N	9	0	-	-	-	0	0	0	0	0	0	0	0	0	2	-	0
1	26	51027P	9	-	-	-	-	0	0	0	0	0	0	0	0	-	-	-	-
1	26	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	51029R	16	-	-	-	-	-	3	3	3	4	4	4	-	4	-	-	-
1	26	51030S	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0
1	26	51031T	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
