wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	15	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51002M	1	3	-	-	-	3	0	0	0	-	3	0	-	-	-	-	-
1	15	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51006R	1	-	-	-	-	-	2	0	0	0	0	5	-	-	-	-	-
1	15	51007S	1	-	-	0	0	0	0	0	0	0	0	0	-	-	-	0	-
1	15	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51009V	1	-	-	-	0	0	0	-	-	-	-	0	6	-	-	-	-
1	15	51010W	1	-	0	-	0	0	0	0	0	0	0	0	-	0	0	0	-
1	15	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51014A	8	-	-	-	9	9	0	0	0	0	0	0	0	0	-	-	-
1	15	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51023K	9	-	0	-	0	0	0	0	0	0	0	0	-	-	-	0	0
1	15	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51026N	9	5	-	-	-	0	0	6	4	4	5	0	0	0	2	-	0
1	15	51027P	9	-	-	-	-	0	0	0	0	0	0	0	0	-	-	-	-
1	15	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51029R	16	-	-	-	-	-	0	0	0	0	0	0	-	0	-	-	-
1	15	51030S	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0
1	15	51031T	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51034X	16	-	0	5	-	0	0	0	0	0	0	0	0	-	0	-	-
1	15	51035Y	16	-	-	0	-	0	0	0	0	0	0	0	0	5	-	-	0
1	15	51036Z	16	5	-	-	-	-	0	0	0	0	0	0	0	-	-	-	-
1	15	51037A	16	-	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0
1	15	51038B	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51039C	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51040D	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51041E	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51042F	17	-	0	-	0	5	0	0	-	0	0	0	-	-	-	-	-
1	15	51043G	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51044H	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51045J	17	-	-	-	-	0	0	0	0	0	0	0	0	0	-	-	-
1	15	51046K	17	-	-	-	0	0	0	-	-	-	-	0	2	0	-	-	-
1	15	51047L	17	-	-	-	-	-	0	-	-	-	-	0	-	-	-	0	-
1	15	51049N	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51050P	17	0	-	-	-	0	0	0	0	0	0	0	0	-	-	0	-
1	15	51051Q	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51052R	24	-	0	-	-	2	0	0	0	0	0	0	-	-	-	3	-
1	15	51053S	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51054T	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51055V	24	-	-	-	-	-	0	0	-	-	-	0	-	-	-	-	-
1	15	51056W	24	-	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-
1	15	51057X	24	0	5	5	-	0	0	0	0	0	0	0	0	-	-	0	0
1	15	51058Y	25	-	-	-	-	0	0	0	0	0	0	0	0	5	-	-	-
1	15	51059Z	25	-	-	5	0	0	0	0	0	0	0	0	0	5	5	5	-
1	15	51060A	25	-	-	-	-	5	0	0	-	-	-	0	-	-	-	-	-
1	15	51061B	25	-	-	-	-	2	0	0	-	0	0	0	0	-	-	-	-
1	15	51062C	25	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51064E	25	-	-	-	-	-	0	0	-	-	0	2	-	0	-	-	-
1	15	51065F	25	-	0	5	0	0	0	0	0	0	0	0	0	-	-	0	0
1	15	51066G	25	0	-	-	2	-	-	0	0	0	-	0	0	-	-	-	-
1	15	51067H	25	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51068J	25	-	5	-	-	0	0	0	0	0	0	0	0	0	-	-	-
1	15	51070L	32	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
1	15	51071M	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51072N	32	-	-	0	5	5	0	0	0	0	0	0	5	5	6	-	-
1	15	51073P	32	-	0	5	0	0	0	0	5	0	0	0	5	-	-	0	-
1	15	51074Q	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51075R	32	-	-	0	5	0	0	0	0	0	0	0	5	5	-	-	-
1	15	51076S	32	-	5	7	5	5	0	0	0	0	5	0	5	5	5	0	-
1	15	51077T	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51078V	32	-	0	-	-	5	0	0	0	0	0	0	5	0	-	6	-
1	15	51079W	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51080X	32	-	-	-	0	0	0	0	0	0	0	0	0	0	-	-	-
1	15	51081Y	33	0	0	-	0	0	0	0	0	0	0	0	0	0	-	5	0
1	15	51082Z	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51083A	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51084B	33	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51087E	33	-	-	-	-	-	0	0	0	0	0	0	-	-	-	-	-
1	15	51088F	33	-	0	-	-	0	0	0	0	0	0	0	0	-	-	0	-
1	15	51089G	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51090H	33	-	-	-	0	0	5	0	0	0	0	0	-	0	-	0	-
1	15	51091J	33	-	-	-	-	0	0	0	0	0	0	0	0	-	-	0	-
1	15	51092K	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15	51093L	40	-	-	-	3	-	0	0	0	0	0	0	-	3	-	-	-
1	15	51094M	40	-	-	-	-	-	0	-	-	-	-	0	-	-	-	-	-
1	15	51095N	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	15	51096P	40	-	0	-	0	0	0	0	0	0	0	0	0	0	-	-	0
1	15	51097Q	40	-	0	-	0	0	0	0	0	0	0	0	0	0	-	0	-
1	15	51098R	40	0	0	-	-	-	0	0	-	0	0	0	0	0	-	-	0
1	15	51099S	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
