wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	22	51087E	33	-	-	-	-	-	1	1	1	1	1	1	-	-	-	-	-
1	22	51088F	33	-	1	-	-	1	1	1	1	1	5	5	5	-	-	1	-
1	22	51089G	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51090H	33	-	-	-	1	0	0	0	1	1	1	1	-	1	-	1	-
1	22	51091J	33	-	-	-	-	1	1	1	1	1	1	1	1	-	-	1	-
1	22	51092K	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51093L	40	-	-	-	2	-	1	1	1	1	1	2	-	2	-	-	-
1	22	51094M	40	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-
1	22	51095N	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	51096P	40	-	1	-	5	1	0	1	1	1	1	1	5	1	-	-	1
1	22	51097Q	40	-	0	-	1	1	1	1	1	1	1	1	0	1	-	1	-
1	22	51098R	40	1	1	-	-	-	1	1	-	1	1	1	1	1	-	-	1
1	22	51099S	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	51100T	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
1	22	51101V	40	1	-	1	-	1	0	1	1	1	1	1	5	1	-	1	0
1	22	51102W	40	-	-	5	1	1	0	0	0	1	0	1	1	-	-	-	-
1	22	51103X	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51104Y	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51105Z	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51107B	41	-	1	1	1	5	1	5	-	-	-	1	-	1	1	1	-
1	22	51108C	41	1	-	1	1	1	1	1	1	0	1	1	1	1	-	-	5
1	22	51109D	41	-	1	-	-	5	1	1	1	1	1	1	1	-	-	1	-
1	22	51110E	41	-	-	-	-	-	2	1	1	1	1	1	-	-	-	-	-
1	22	51111F	41	-	-	1	-	1	1	1	1	1	1	1	1	1	-	1	-
1	22	51112G	41	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51113H	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51114J	48	-	1	-	5	5	1	1	1	1	1	1	1	1	-	-	1
1	22	51115K	48	-	-	-	-	1	5	1	1	1	1	1	-	-	-	-	-
1	22	51116L	48	-	-	-	5	1	1	1	1	1	1	0	0	1	-	-	-
1	22	51117M	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51118N	48	-	1	-	-	5	1	1	1	1	1	1	5	5	-	1	-
1	22	51119P	48	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-
1	22	51120Q	48	-	-	-	1	1	1	1	1	1	1	2	-	-	-	-	-
1	22	51121R	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51122S	49	-	-	-	-	0	0	0	0	0	0	-	0	-	-	-	0
1	22	51123T	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51125W	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51127Y	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51128Z	49	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0
1	22	51129A	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51130B	49	0	0	-	0	1	1	1	1	1	1	0	0	-	0	-	0
1	22	51131C	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51132D	49	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51133E	49	-	-	-	-	-	2	1	1	1	1	1	-	-	-	-	-
1	22	51134F	56	-	-	-	-	-	1	1	1	1	1	1	-	-	-	-	-
1	22	51135G	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51136H	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51137J	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51138K	56	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51139L	56	5	5	5	1	1	1	1	1	1	1	1	5	5	-	5	1
1	22	51141N	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51142P	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51143Q	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51144R	57	-	-	-	1	-	1	1	0	1	0	0	-	1	-	-	-
1	22	51145S	57	-	-	-	-	-	1	1	1	1	1	1	-	-	-	1	-
1	22	51146T	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51147V	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51148W	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51149X	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51150Y	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51151Z	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51152A	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51153B	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51154C	64	-	-	-	-	-	1	-	-	-	-	1	1	1	-	-	-
1	22	51155D	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51156E	64	1	-	-	1	1	1	1	0	1	1	1	1	1	-	-	-
1	22	51158G	64	-	1	-	1	1	1	1	1	1	1	1	1	-	-	1	-
1	22	51159H	64	1	-	-	-	1	1	1	1	1	-	1	1	-	1	-	-
1	22	51160J	64	-	-	1	1	1	0	0	1	0	0	-	1	1	1	-	0
1	22	51161K	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51162L	64	1	2	1	-	-	1	-	-	-	-	1	2	1	-	-	-
1	22	51163M	64	-	-	-	-	-	5	1	1	1	1	5	5	-	-	-	-
1	22	51164N	64	-	-	1	-	4	-	1	0	1	0	1	1	1	1	-	-
1	22	51165P	64	9	1	5	-	5	2	1	1	1	1	6	1	-	4	1	0
1	22	51166Q	64	-	-	-	-	1	1	1	1	1	1	1	1	-	-	5	-
1	22	51167R	64	-	2	-	-	5	1	1	1	1	1	1	1	5	-	-	-
1	22	51168S	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51169T	65	-	-	-	-	5	1	1	-	-	-	1	3	-	-	-	-
1	22	51170V	65	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51171W	65	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
1	22	51172X	65	-	-	-	-	1	1	-	-	-	-	5	0	-	-	-	-
1	22	51173Y	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51174Z	65	-	1	1	5	5	0	0	0	0	0	0	5	5	5	0	-
1	22	51175A	65	-	-	1	-	0	2	0	1	1	1	0	0	-	-	-	2
1	22	51176B	65	-	1	1	1	1	5	1	5	5	1	5	5	-	1	1	1
1	22	51177C	65	-	1	1	1	1	1	1	1	1	1	0	1	1	1	-	-
1	22	51178D	65	-	0	0	0	-	0	1	-	-	-	1	-	-	-	-	1
1	22	51179E	72	5	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-
1	22	51181G	72	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	51182H	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51183J	72	-	-	-	-	-	2	-	-	-	-	2	-	-	-	-	-
1	22	51184K	72	-	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
1	22	51185L	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51186M	72	-	5	-	5	2	0	1	1	1	-	1	1	1	1	1	-
1	22	51187N	72	-	1	1	0	1	0	1	1	1	1	1	0	1	-	-	-
1	22	51188P	72	1	1	-	1	1	1	1	1	1	1	1	5	5	1	1	-
1	22	51189Q	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51192T	73	6	-	-	1	1	1	1	1	1	1	1	1	1	-	-	1
1	22	51193V	73	1	1	1	1	1	1	-	-	-	6	1	1	1	1	-	-
1	22	51194W	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51195X	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51196Y	73	0	-	-	-	1	1	1	0	0	1	1	5	5	1	-	-
1	22	51197Z	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51198A	73	-	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0
1	22	51199B	73	-	-	-	5	5	5	1	1	1	1	1	5	5	-	-	-
1	22	51200C	73	-	-	-	-	-	1	1	1	1	1	6	1	1	-	-	-
1	22	51201D	73	-	1	-	1	0	0	0	0	0	0	0	0	0	-	1	-
1	22	51202E	73	-	5	-	-	1	1	1	1	1	1	1	1	-	5	1	-
1	22	51204G	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51205H	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51206J	80	-	1	-	1	1	0	0	0	0	0	1	1	0	1	2	-
1	22	51207K	80	-	-	-	2	2	1	1	1	1	1	1	2	-	-	-	-
1	22	51208L	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51209M	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51210N	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51211P	80	-	-	-	-	1	1	0	1	1	1	6	-	-	-	1	-
1	22	51212Q	80	-	-	-	1	3	1	1	1	1	1	1	-	-	-	-	-
1	22	51213R	80	-	-	-	-	5	1	1	1	1	1	1	1	-	-	-	-
1	22	51214S	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	51215T	80	-	1	-	1	1	1	1	1	1	1	0	1	-	-	-	-
1	22	51216V	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52217H	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52218J	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52219K	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52220L	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52221M	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52222N	8	4	-	-	-	5	0	1	1	1	1	1	4	-	-	4	-
1	22	52223P	8	-	-	-	1	-	1	-	-	-	1	2	1	-	-	-	-
1	22	52224Q	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52225R	9	1	-	-	2	2	0	0	1	0	0	2	5	-	-	-	6
1	22	52226S	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
