wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	17	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51002M	1	3	-	-	-	0	0	0	0	-	3	0	-	-	-	-	-
1	17	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51006R	1	-	-	-	-	-	0	0	0	0	0	0	-	-	-	-	-
1	17	51007S	1	-	-	0	0	0	0	0	0	0	0	0	-	-	-	0	-
1	17	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51009V	1	-	-	-	0	0	0	-	-	-	-	0	0	-	-	-	-
1	17	51010W	1	-	0	-	5	0	0	0	0	0	0	0	-	0	0	0	-
1	17	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51014A	8	-	-	-	9	9	0	0	0	0	0	0	0	0	-	-	-
1	17	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51023K	9	-	0	-	0	0	0	0	0	0	0	0	-	-	-	0	0
1	17	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51026N	9	0	-	-	-	0	5	6	0	0	0	4	0	0	0	-	0
1	17	51027P	9	-	-	-	-	0	0	0	0	0	0	0	0	-	-	-	-
1	17	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51029R	16	-	-	-	-	-	0	0	0	0	0	0	-	0	-	-	-
1	17	51030S	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0
1	17	51031T	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51034X	16	-	0	5	-	0	0	0	0	0	0	0	0	-	5	-	-
1	17	51035Y	16	-	-	0	-	0	0	0	0	0	0	0	0	0	-	-	5
1	17	51036Z	16	5	-	-	-	-	5	0	0	0	0	5	0	-	-	-	-
1	17	51037A	16	-	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0
1	17	51038B	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51039C	16	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51040D	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51041E	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51042F	17	-	0	-	5	0	0	5	-	0	0	0	-	-	-	-	-
1	17	51043G	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51044H	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51045J	17	-	-	-	-	0	0	0	0	0	0	0	0	0	-	-	-
1	17	51046K	17	-	-	-	0	0	0	-	-	-	-	0	0	0	-	-	-
1	17	51047L	17	-	-	-	-	-	0	-	-	-	-	0	-	-	-	0	-
1	17	51049N	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51050P	17	0	-	-	-	0	0	0	0	0	0	0	0	-	-	0	-
1	17	51051Q	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51052R	24	-	0	-	-	0	0	0	0	2	0	0	-	-	-	3	-
1	17	51053S	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51054T	24	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51055V	24	-	-	-	-	-	0	0	-	-	-	3	-	-	-	-	-
1	17	51056W	24	-	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-
1	17	51057X	24	5	5	0	-	0	0	0	0	0	0	0	0	-	-	5	0
1	17	51058Y	25	-	-	-	-	0	0	0	0	0	0	0	0	0	-	-	-
1	17	51059Z	25	-	-	5	0	0	0	0	0	0	0	0	0	0	5	5	-
1	17	51060A	25	-	-	-	-	0	0	0	-	-	-	0	-	-	-	-	-
1	17	51061B	25	-	-	-	-	0	0	0	-	0	0	0	0	-	-	-	-
1	17	51062C	25	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51064E	25	-	-	-	-	-	0	0	-	-	2	0	-	2	-	-	-
1	17	51065F	25	-	5	5	0	0	0	0	0	0	0	0	5	-	-	5	0
1	17	51066G	25	5	-	-	0	-	-	0	0	0	-	0	0	-	-	-	-
1	17	51067H	25	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51068J	25	-	5	-	-	0	0	0	0	5	0	0	0	0	-	-	-
1	17	51070L	32	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-
1	17	51071M	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51072N	32	-	-	5	0	0	0	0	0	0	0	0	0	5	6	-	-
1	17	51073P	32	-	5	5	0	0	0	0	0	0	0	0	0	-	-	0	-
1	17	51074Q	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51075R	32	-	-	5	0	0	0	0	0	0	0	0	0	0	-	-	-
1	17	51076S	32	-	5	7	5	0	0	0	0	0	0	5	0	5	5	5	-
1	17	51077T	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51078V	32	-	5	-	-	0	0	0	0	0	0	0	0	5	-	6	-
1	17	51079W	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51080X	32	-	-	-	0	0	0	0	0	0	0	0	0	0	-	-	-
1	17	51081Y	33	0	0	-	0	0	0	0	0	0	0	0	0	0	-	0	0
1	17	51082Z	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51083A	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	17	51084B	33	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	17	51087E	33	-	-	-	-	-	0	0	0	0	0	0	-	-	-	-	-
